Federal funds rate projection (%),FOMC meeting,Year
4.375,Jun 2025,2025
4.375,Jun 2025,2025
4.375,Jun 2025,2025
4.375,Jun 2025,2025
4.375,Jun 2025,2025
4.375,Jun 2025,2025
4.375,Jun 2025,2025
4.125,Jun 2025,2025
4.125,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.875,Jun 2025,2025
3.625,Jun 2025,2025
3.625,Jun 2025,2025
4.125,Jun 2025,2026
3.875,Jun 2025,2026
3.875,Jun 2025,2026
3.875,Jun 2025,2026
3.875,Jun 2025,2026
3.875,Jun 2025,2026
3.625,Jun 2025,2026
3.625,Jun 2025,2026
3.625,Jun 2025,2026
3.625,Jun 2025,2026
3.375,Jun 2025,2026
3.375,Jun 2025,2026
3.375,Jun 2025,2026
3.375,Jun 2025,2026
3.375,Jun 2025,2026
3.125,Jun 2025,2026
3.125,Jun 2025,2026
2.875,Jun 2025,2026
2.625,Jun 2025,2026
3.875,Jun 2025,2027
3.875,Jun 2025,2027
3.625,Jun 2025,2027
3.625,Jun 2025,2027
3.625,Jun 2025,2027
3.375,Jun 2025,2027
3.375,Jun 2025,2027
3.375,Jun 2025,2027
3.375,Jun 2025,2027
3.375,Jun 2025,2027
3.375,Jun 2025,2027
3.125,Jun 2025,2027
3.125,Jun 2025,2027
3.125,Jun 2025,2027
2.875,Jun 2025,2027
2.875,Jun 2025,2027
2.875,Jun 2025,2027
2.625,Jun 2025,2027
2.625,Jun 2025,2027
4.375,Mar 2025,2025
4.375,Mar 2025,2025
4.375,Mar 2025,2025
4.375,Mar 2025,2025
4.125,Mar 2025,2025
4.125,Mar 2025,2025
4.125,Mar 2025,2025
4.125,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.875,Mar 2025,2025
3.625,Mar 2025,2025
3.625,Mar 2025,2025
4.125,Mar 2025,2026
4.125,Mar 2025,2026
4.125,Mar 2025,2026
3.875,Mar 2025,2026
3.625,Mar 2025,2026
3.625,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.375,Mar 2025,2026
3.125,Mar 2025,2026
2.875,Mar 2025,2026
2.875,Mar 2025,2026
2.875,Mar 2025,2026
3.875,Mar 2025,2027
3.875,Mar 2025,2027
3.625,Mar 2025,2027
3.625,Mar 2025,2027
3.625,Mar 2025,2027
3.625,Mar 2025,2027
3.375,Mar 2025,2027
3.375,Mar 2025,2027
3.125,Mar 2025,2027
3.125,Mar 2025,2027
3.125,Mar 2025,2027
3.125,Mar 2025,2027
3.125,Mar 2025,2027
3.125,Mar 2025,2027
2.875,Mar 2025,2027
2.875,Mar 2025,2027
2.875,Mar 2025,2027
2.625,Mar 2025,2027
2.625,Mar 2025,2027
4.625,Dec 2024,2024
4.625,Dec 2024,2024
4.625,Dec 2024,2024
4.625,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2024
4.375,Dec 2024,2025
4.125,Dec 2024,2025
4.125,Dec 2024,2025
4.125,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.875,Dec 2024,2025
3.625,Dec 2024,2025
3.625,Dec 2024,2025
3.625,Dec 2024,2025
3.375,Dec 2024,2025
3.125,Dec 2024,2025
3.875,Dec 2024,2026
3.875,Dec 2024,2026
3.875,Dec 2024,2026
3.625,Dec 2024,2026
3.625,Dec 2024,2026
3.625,Dec 2024,2026
3.625,Dec 2024,2026
3.375,Dec 2024,2026
3.375,Dec 2024,2026
3.375,Dec 2024,2026
3.375,Dec 2024,2026
3.375,Dec 2024,2026
3.125,Dec 2024,2026
3.125,Dec 2024,2026
3.125,Dec 2024,2026
3.125,Dec 2024,2026
2.875,Dec 2024,2026
2.750,Dec 2024,2026
2.375,Dec 2024,2026
3.875,Dec 2024,2027
3.875,Dec 2024,2027
3.625,Dec 2024,2027
3.625,Dec 2024,2027
3.625,Dec 2024,2027
3.625,Dec 2024,2027
3.375,Dec 2024,2027
3.125,Dec 2024,2027
3.125,Dec 2024,2027
3.125,Dec 2024,2027
3.125,Dec 2024,2027
3.125,Dec 2024,2027
3.125,Dec 2024,2027
3.125,Dec 2024,2027
2.875,Dec 2024,2027
2.875,Dec 2024,2027
2.750,Dec 2024,2027
2.625,Dec 2024,2027
2.375,Dec 2024,2027
4.875,Sep 2024,2024
4.875,Sep 2024,2024
4.625,Sep 2024,2024
4.625,Sep 2024,2024
4.625,Sep 2024,2024
4.625,Sep 2024,2024
4.625,Sep 2024,2024
4.625,Sep 2024,2024
4.625,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.375,Sep 2024,2024
4.125,Sep 2024,2024
4.125,Sep 2024,2025
3.875,Sep 2024,2025
3.625,Sep 2024,2025
3.625,Sep 2024,2025
3.625,Sep 2024,2025
3.375,Sep 2024,2025
3.375,Sep 2024,2025
3.375,Sep 2024,2025
3.375,Sep 2024,2025
3.375,Sep 2024,2025
3.375,Sep 2024,2025
3.125,Sep 2024,2025
3.125,Sep 2024,2025
3.125,Sep 2024,2025
3.125,Sep 2024,2025
3.125,Sep 2024,2025
3.125,Sep 2024,2025
2.875,Sep 2024,2025
2.875,Sep 2024,2025
3.875,Sep 2024,2026
3.625,Sep 2024,2026
3.625,Sep 2024,2026
3.625,Sep 2024,2026
3.375,Sep 2024,2026
3.375,Sep 2024,2026
3.375,Sep 2024,2026
3.125,Sep 2024,2026
3.125,Sep 2024,2026
2.875,Sep 2024,2026
2.875,Sep 2024,2026
2.875,Sep 2024,2026
2.875,Sep 2024,2026
2.875,Sep 2024,2026
2.875,Sep 2024,2026
2.625,Sep 2024,2026
